"NAME","GENRES","DEVELOPER","PUBLISHER","RELEASE DATE","PLATFORMS","TAGS","SP/COOP/MP","BASE PRICE","NEGATIVE REVIEWS","POSITIVE REVIEWS","TOTAL REVIEWS","24-HR PEAK (2/28)","ALL TIME PEAK","positive_review_rate","peak_ratio","success","log_negative_reviews","log_positive_reviews","log_total_reviews","log_peak","log_all_time_peak"
"Lust Theory Season 2","Adventure,Casual,RPG","Inceton games","Inceton games",2023-01-27,"Windows,macOS,SteamOS,Linu","Sexual Content,Nudity,Mature,NSFW,Dating Sim,Dark Humor,Immersive Sim,Realistic,Hentai,Interactive Fiction,Choose Your Own Adventure,Adventure,Choices Matter,Colorful,3D,Story Rich,Singleplayer,RPG,Casual,Free to Play","Single-player",24.99,160,453,613,55,861,0.738988580750408,0.0638792102206736,0,5.08140436498446,6.11809719804135,6.41999492814714,4.02535169073515,6.75925527066369
"Astrea: Six-Sided Oracles","Casual,Indie,Strategy","Little Leo Games","Akupara Games",2023-09-21,"Windows","Roguelike Deckbuilder,Card Battler,Roguelike,Card Game,Strategy,Turn-Based,Deckbuilding,Roguelite,Turn-Based Combat,Turn-Based Strategy,Procedural Generation,Replay Value,Difficult,Indie,RPG,2D,Hand-drawn,Dark Fantasy,Singleplayer,Casual","Single-player",24.99,216,2737,2953,301,3873,0.926854046732137,0.077717531629228,0,5.37989735354046,7.91498300584839,7.99091546309133,5.71042701737487,8.26204284396694
"Capcom Arcade 2nd Stadium","Action,Free to Play","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",2022-07-21,"Windows","Action,Arcade,2D Platformer,2D Fighter,Side Scroller,2D,Free to Play,1990's,1980s,3D,Singleplayer,Local Co-Op,Local Multiplayer,4 Player Local,Retro","Single-player,Shared/Split Screen Co-op",87.51,252,471,723,54,458580,0.651452282157676,0.00011775480832134,0,5.53338948872752,6.15697898558556,6.58479139238572,4.00733318523247,13.0358922181072
"Infinite Lagrange","Massively Multiplayer,Simulation,Strategy","NetEase Games","NetEase Games",2021-10-07,"Windows","Strategy,Massively Multiplayer,Simulation,Space,3D,Base Building,Space Sim,Multiplayer,MOBA,Free to Play","Online PvP",0,288,320,608,202,261,0.526315789473684,0.773946360153257,0,5.66642668811243,5.77144112313002,6.4118182677099,5.31320597904179,5.5683445037611
"Waifu Fighter","Action,Indie,Sports","Happy Monster Studio","Mango Party",2022-12-21,"Windows","Sexual Content,Hentai,Nudity,NSFW,Anime,Casual,Martial Arts,Funny,Boxing,Rhythm,Cute,Combat,Action RTS,Drama,Visual Novel,2D Fighter,Simulation,Action,RPG,Cartoon","Single-player",7.99,286,2005,2291,0,0,0.875163683980794,NA,0,5.65948221575962,7.60389796852188,7.73718007783463,0,0
"Bandle Tale: A League of Legends Story","RPG,Simulation","Lazy Bear Games","Riot Forge",2024-02-21,"Windows","Crafting,RPG,Singleplayer,Simulation,Pixel Graphics,Colorful,Cute,Exploration,Farming Sim,Fantasy,Magic,Family Friendly,Nature,Cozy,Isometric,Funny,Beautiful","Single-player",24.99,81,377,458,653,1356,0.823144104803493,0.481563421828909,0,4.40671924726425,5.93489419561959,6.12905021006055,6.4831073514572,7.21303165983487
"Babble Royale","Action,Casual,Free to Play,Indie,Early Access","Everybody House Games","Everybody House Games",2021-12-15,"Windows,macO","Early Access,Action,Casual,Battle Royale,Word Game,Looter Shooter,Real Time Tactics,Spelling,2D,Top-Down,Alternate History,Dystopian ,Family Friendly,Funny,LGBTQ+,Logic,Loot,Philosophical,Memes,Survival","Online PvP",0,181,826,1007,0,0,0.82025819265144,NA,0,5.2040066870768,6.71780469502369,6.91572344863131,0,0
"Madden NFL 23","Simulation,Sports","Tiburon","Electronic Arts",2022-08-18,"Windows","Football (American),Sports,Management,PvP,Immersive Sim,eSports,Character Customization,3D,Simulation,Split Screen,Realistic,Co-op,Local Co-Op,Multiplayer,Local Multiplayer,Online Co-Op,Singleplayer,Early Access,Controller,Sexual Content","Single-player,Online PvP,Shared/Split Screen Co-op",59.99,2974,3078,6052,491,6024,0.508592200925314,0.0815073041168659,0,7.99799931797973,8.0323601479245,8.70830929589169,6.19847871649231,8.70367275835886
"Half-Life: MMod","Action","MMod Team","Gunship_Mark_II",2023-03-14,"Windows,SteamOS,Linu","Action,Shooter,FPS,3D,First-Person,Old School,Mod,Atmospheric,Gore,Singleplayer,Military,Combat,Violent,Story Rich,PvE,Blood,Sci-fi,Free to Play,Classic,Horror","Single-player",0,112,3738,3850,58,621,0.970909090909091,0.0933977455716586,1,4.72738781871234,8.22657347497711,8.25608813381491,4.07753744390572,6.43294009273918
"Sailwind","Adventure,Casual,Indie,Simulation,Early Access","Raw Lion Workshop","Raw Lion Workshop",2021-10-18,"Windows","Early Access,Simulation,Sailing,Open World,Survival,Relaxing,Immersive Sim,Fishing,Adventure,Transportation,Exploration,Life Sim,Atmospheric,Choose Your Own Adventure,Cooking,Resource Management,Trading,Family Friendly,Minimalist,First-Person","Single-player",19.99,112,1133,1245,59,367,0.91004016064257,0.160762942779292,0,4.72738781871234,7.0335064842877,7.1276936993474,4.0943445622221,5.90808293816893
